"TAD_ID","DESeq2_condition_Germinating_Cyst_vs_Zoospore_sig005","DESeq2_condition_Mycelia_48h_vs_Germinating_Cyst_sig005","DESeq2_condition_Mycelia_4d_vs_Mycelia_48h_sig005","DESeq2_condition_Early_infection_vs_Mycelia_4d_sig005","DESeq2_condition_Late_infection_vs_Early_infection_sig005"
"TAD_1","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_5","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_7","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_8","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_9","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_11","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_12","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_13","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_15","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_16","Down","Up","Not Significant","Up","Not Significant"
"TAD_17","Not Significant","Down","Up","Not Significant","Not Significant"
"TAD_18","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_19","Down","Not Significant","Not Significant","Up","Up"
"TAD_20","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_21","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_23","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_24","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_25","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_26","Not Significant","Up","Down","Up","Not Significant"
"TAD_28","Not Significant","Not Significant","Not Significant","Up","Not Significant"
"TAD_29","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_30","Down","Not Significant","Up","Up","Down"
"TAD_31","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_33","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_35","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_36","Down","Up","Up","Not Significant","Up"
"TAD_37","Up","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_39","Down","Up","Up","Not Significant","Not Significant"
"TAD_40","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_42","Not Significant","Not Significant","Up","Not Significant","Up"
"TAD_43","Down","Not Significant","Up","Up","Not Significant"
"TAD_44","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_45","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_46","Not Significant","Not Significant","Down","Not Significant","Up"
"TAD_48","Not Significant","Up","Down","Not Significant","Not Significant"
"TAD_49","Not Significant","Not Significant","Down","Up","Not Significant"
"TAD_51","Not Significant","Up","Not Significant","Up","Down"
"TAD_52","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_54","Down","Up","Up","Not Significant","Not Significant"
"TAD_55","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_56","Down","Up","Up","Not Significant","Not Significant"
"TAD_57","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_59","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_60","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_62","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_63","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_65","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_66","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_67","Not Significant","Not Significant","Up","Not Significant","Down"
"TAD_68","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_70","Up","Not Significant","Up","Not Significant","Not Significant"
"TAD_72","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_73","Not Significant","Down","Up","Not Significant","Not Significant"
"TAD_74","Down","Not Significant","Up","Up","Not Significant"
"TAD_76","Down","Up","Not Significant","Up","Down"
"TAD_77","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_78","Down","Up","Up","Not Significant","Not Significant"
"TAD_79","Not Significant","Not Significant","Not Significant","Not Significant","Up"
"TAD_80","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_81","Down","Up","Not Significant","Not Significant","Up"
"TAD_82","Not Significant","Not Significant","Down","Up","Not Significant"
"TAD_83","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_84","Down","Not Significant","Down","Up","Down"
"TAD_86","Not Significant","Not Significant","Not Significant","Not Significant","Down"
"TAD_87","Down","Up","Not Significant","Up","Not Significant"
"TAD_88","Down","Up","Not Significant","Up","Not Significant"
"TAD_91","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_92","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_94","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_95","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_96","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_98","Not Significant","Not Significant","Down","Up","Not Significant"
"TAD_99","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_100","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_103","Down","Not Significant","Down","Not Significant","Not Significant"
"TAD_105","Down","Up","Up","Not Significant","Not Significant"
"TAD_106","Not Significant","Down","Down","Not Significant","Not Significant"
"TAD_107","Up","Not Significant","Down","Not Significant","Not Significant"
"TAD_108","Down","Up","Not Significant","Up","Not Significant"
"TAD_109","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_110","Not Significant","Not Significant","Not Significant","Up","Not Significant"
"TAD_113","Not Significant","Not Significant","Down","Not Significant","Not Significant"
"TAD_115","Not Significant","Up","Not Significant","Up","Not Significant"
"TAD_116","Not Significant","Up","Not Significant","Not Significant","Not Significant"
"TAD_121","Not Significant","Up","Up","Not Significant","Not Significant"
"TAD_123","Down","Up","Up","Up","Not Significant"
"TAD_124","Not Significant","Not Significant","Up","Up","Not Significant"
"TAD_125","Down","Up","Up","Not Significant","Not Significant"
"TAD_126","Down","Not Significant","Not Significant","Not Significant","Up"
"TAD_128","Not Significant","Not Significant","Not Significant","Down","Down"
"TAD_129","Not Significant","Not Significant","Up","Up","Not Significant"
"TAD_130","Not Significant","Up","Not Significant","Up","Not Significant"
"TAD_131","Down","Up","Up","Not Significant","Up"
"TAD_133","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_134","Not Significant","Up","Not Significant","Not Significant","Down"
"TAD_135","Not Significant","Up","Not Significant","Not Significant","Not Significant"
"TAD_138","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_140","Down","Not Significant","Not Significant","Not Significant","Not Significant"
"TAD_141","Down","Up","Down","Not Significant","Up"
"TAD_142","Down","Up","Not Significant","Not Significant","Not Significant"
"TAD_144","Down","Not Significant","Up","Up","Not Significant"
"TAD_146","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_147","Down","Up","Up","Up","Not Significant"
"TAD_148","Down","Up","Not Significant","Up","Not Significant"
"TAD_149","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_150","Down","Not Significant","Up","Not Significant","Not Significant"
"TAD_151","Not Significant","Not Significant","Up","Not Significant","Not Significant"
"TAD_153","Not Significant","Up","Not Significant","Not Significant","Not Significant"
"TAD_154","Not Significant","Not Significant","Down","Not Significant","Not Significant"
"TAD_155","Down","Up","Not Significant","Not Significant","Not Significant"
